Taylor Swift takes in Chargers-Chiefs at Arrowhead in Week 7	Taylor Swift is back at Arrowhead Stadium for the second week in a row to watch the Los Angeles Chargers take on the Kansas City Chiefs.	relationship
Taylor Swift watches football with former NFL quarterback Bernie Kosar before attending Chiefs game	Taylor Swift is back at Arrowhead Stadium to catch her rumored beau Travis Kelce, but before attending the game, she watched the early games with Bernie Kosar.	NFL
Lamar Jackson Leads the Best Performers of Week 7 in the NFL	Quarterbacks took the stage again this week, leading their teams to victory.	unrelated/NFL
Taylor Swift was the soundtrack to my Killers of the Flower Moon screening	Did you hear Taylor Swift: The Eras Tour while trying to watch Martin Scorsese’s latest movie? You aren’t alone.	miscellaneous 
The Philadelphia Eagles' signature 'tush push' is effectively driving its critics mad	Philadelphia and Jalen Hurts beat the Miami Dolphins on Sunday. The Eagles' only crime with its "brotherly shove" is making football fourth downs less dramatic.	unrelated
Mom's creepy-cool Taylor Swift Halloween display goes viral on TikTok	A Wisconsin mom has gone viral after she shared her creative Taylor Swift Eras Tour Halloween decor with fellow "Swifties" on TikTok, reaching millions of people.	viral_moment
Travis Kelce dazzled in Week 7. Is he 'showing off' for Taylor Swift?	Travis Kelce had a huge 179-yard performance in Week 7, making some NFL fans wonder if he's "showing off" for Taylor Swift. And maybe that's a good thing.	NFL
Taylor Swift kisses Travis Kelce on the cheek in Instagram photo	Taylor Swift and Travis Kelce are getting just a little bit more cozy in a new snap that has fans buzzing.	viral_moment
Chiefs' Travis Kelce has been taking his play to a new level with Taylor Swift in the house	Kansas City Chiefs tight end Travis Kelce has been taking his play to a new level whenever Taylor Swift is in the house	relationship 
Taylor Swift kisses Travis Kelce following Kansas City Chiefs game	Taylor Swift and Travis Kelce's romance heats up as a new photo of the pop star kissing the NFL tight end's cheek surfaced after she attended Sunday's Kansas City Chiefs game.	NFL
NFL Week 7 Winners and Losers: Eagles Slow Down Dolphins Offense in SNF Win	The Eagles managed to mostly contain the top-ranked Dolphins offense in a 31-17 win on Sunday Night Football.	unrelated 
Travis Kelce trying to impress Taylor Swift is GREAT for Chiefs | What’s Wright?	The Kansas City Chiefs were able to take care of business against the Los Angeles Chargers, soundly defeating them at home in Arrowhead 31-17. So how do Patrick Mahomes’ Chiefs avoid complacency with that challenge out of the way? Nick Wright points to one fa…	miscellaneous 
Travis Kelce's dad says he's impressed by Taylor Swift after meeting pop star	Despite Travis Kelce joking that his father meeting Taylor Swift was "terrifying," Ed Kelce reportedly had a great first impression of the pop star.	miscellaneous 
Taylor Swift fans aren't going to be happy with Terry Bradshaw's Eras Tour lip sync theory	Taylor Swift fans might have some beef with Terry Bradshaw over this one.	miscellaneous 
Are you washing your jeans enough? — plus Kirk Cameron's powerful plea	The Fox News Lifestyle Newsletter brings you trending stories on family, travel, food, neighbors helping neighbors, pets, autos, military veterans, heroes, faith and American values.	unrelated
Taylor Swift secures Travis Kelce's dad's stamp of approval in glowing review: 'Very special'	Taylor Swift seemingly earned a stamp up of approval from new beau Travis Kelce's father. Ed Kelce shared insight into his relationship with the pop star in a new interview.	relationship
Taylor Swift Effect: Chiefs 5-0, 4-1 ATS since star began attending Travis Kelce games	Travis Kelce and the Chiefs are on fire since superstar Taylor Swift started attending games. Patrick Everson talked to a long-time bookmaker about Kelce's props and how Swift has impacted the betting markets.	miscellaneous 
Taylor Swift fans worry after she spends time with Jackson Mahomes, Britney Spears shares why she goes nude	The Fox News Entertainment newsletter brings you the latest Hollywood headlines, celebrity interviews and stories from Los Angeles and beyond.	miscellaneous 
What to Know About the Dolly Parton Event Hitting Theaters Soon	The first-listen event for Parton's new "Rockstar" album is set to land in theaters on November 15.	unrelated
Chiefs' Travis Kelce responds to Andy Reid's comments on the impact of Taylor Swift	Travis Kelce is thankful for coach Andy Reid's approval of the presence of Taylor Swift at Chiefs games: "You know you're doing something right."	miscellaneous 
Union Berlin are no longer an underdog fairytale, but they're worth rooting for	Union Berlin's players couldn't believe the support of their home fans as their losing streak stretched to nine games on Tuesday night. But that's what makes this club, and its supporters, so special.	unrelated
Rob Gronkowski's claim that Taylor Swift gets too much NFL airtime is overblown	Come on, Gronk. You're wrong about this one.	miscellaneous 
Connor Hellebuyck and his wife debut first of many Travis Kelce and Taylor Swift Halloween costumes this season	The Taylor Swift and Travis Kelce Halloween costumes are beginning to roll in.	miscellaneous 
Chiefs' Travis Kelce Will Have Feature on Jason Kelce, Eagles' 2nd Christmas Album	Travis Kelce starts dating Taylor Swift and all of a sudden the Kansas City Chiefs star embarks on a musical career. Travis and brother Jason announced…	relationship
Chiefs' Travis Kelce Addresses Viral Taylor Swift Stat Graphic from Chargers Game	Kansas City Chiefs star Travis Kelce is well aware of the difference in his performance this season when Taylor Swift is at his games as opposed to when she's…	viral_moment
Buccaneers vs. Bills live updates: Top moments from Thursday Night Football	Week 8 of the NFL season gets underway Thursday with the Bills playing host to the Buccaneers. Here are the top moments!	unrelated
Taylor Swift is now a billionaire, Bloomberg says | CNN Business	Taylor Swift has another accolade to add to her already impressive resume this year: America’s favorite pop star is now a billionaire, according to a Bloomberg analysis.	award
‘1989 (Taylor’s Version)’ is coming. Here’s what to know.	‘1989 (Taylor’s Version)’ features vault tracks: “Now That We Don’t Talk,” “Suburban Legends,” “Say Don’t Go,” “Is It Over Now?” and “‘Slut!’”	music
Trevor Lawrence to Trey Lance: Grading the 2021 quarterback class so far	Former NFL scout Bucky Brooks checks in on the quarterback class of 2021, grading the five first-round picks on their performances so far.	unrelated
Taylor Swift achieves billionaire status amid monumental Eras tour	According to a Bloomberg News Analysis published Thursday, Taylor Swift's net worth is $1.1 billion.	miscellaneous 
FOX Super 6 NFL contest: Chris 'The Bear' Fallica's Week 8 picks	The FOX Super 6 NFL contest has already given away $70,000. Will you be the next winner? If you need a little help with this week's questions, Chris "The Bear" Fallica has you covered!	unrelated
Taylor Swift fans are convinced 1989 (Taylor’s Version) could be a double album, and they might be right	Are the Swifties on to something here?	music
Jerry Jones gives mixed signals on Cowboys' trade deadline approach	Cowboys owner Jerry Jones said there will be a "high bar" to trade but indicated his team will be active ahead of the Oct. 31 deadline.	unrelated
Country musician Megan Moroney says she writes sad songs for sad people. It's making her a star.	Not so long before her platinum single “Tennessee Orange” became inescapable on country radio, Megan Moroney was attending the University of Georgia	music
Sam Darnold next to take turn in 49ers’ QB carousel: NFC West Stock Watch	With Brock Purdy in concussion protocol, veteran Sam Darnold could be the fifth QB to take meaningful snaps in the Niners' past 27 games.	unrelated
GOP rising star Mark Robinson’s wretched Facebook feed lands him in trouble ... again	North Carolina’s lieutenant governor, a rising star in the GOP, appears to have posted comments on Facebook quoting Hitler and minimizing the Holocaust.	unrelated
The Hottest Costume This Halloween? The All-American Couple	What this year's most popular Halloween costumes say about our current attitudes	unrelated
Patrick Mahomes wants to 'one-up' Taylor Swift and his wife's handshake with Travis Kelce	When Taylor Swift and Patrick Mahomes' wife went viral for their two handshakes, the quarterback realized he didn't have one with Travis Kelce.	viral_moment
Chiefs star Travis Kelce dances to Taylor Swift's 'Shake It Off' at World Series game	The Kansas City Chiefs star broke out some dance moves to one of Taylor Swift's hit songs during his appearance at Game 1 of the World Series between the Rangers and Diamondbacks.	music
Jennifer Lawrence's full-frontal nude scene; Morgan Wallen looks for love	The Fox News Entertainment newsletter brings you the latest Hollywood headlines, celebrity interviews and stories from Los Angeles and beyond.	unrelated
Taylor Swift to likely miss Travis Kelce's Chiefs game this Sunday as 'Eras Tour' nears return: reports	The Grammy Award winning singer has become a fixture at Chiefs home and road games so far this season, where she has supported Travis Kelce from luxury suites.	miscellaneous 
Britney Spears and Jada Pinkett Smith demonstrate the delicate dance of the celeb memoir	Would you want to revisit your life and your past in order to share it all, both the good and the bad?	unrelated
Apple’s Journal app is kind of smart — and kind of basic	Apple Journal comes with iOS 17.2 and includes features for saving photos, video, text, and more. It also includes a suggestions API that uses AI to try and guess which moments matter most.	unrelated
TMZ: Taylor Swift Won't Attend Travis Kelce, Chiefs' Game vs. Broncos in Week 8	Travis Kelce will be left to his own devices when the Kansas City Chiefs play the Denver Broncos on Sunday. Per TMZ Sports, Taylor Swift won't be attending…	Relationship
